iter	Passed	Remaining
439	1371	29793
440	1374	29782
441	1377	29778
442	1380	29771
443	1382	29760
444	1387	29784
445	1389	29774
446	1393	29772
447	1395	29763
448	1398	29751
449	1402	29772
450	1405	29762
451	1408	29757
452	1411	29757
453	1414	29745
454	1418	29753
455	1421	29747
456	1424	29737
457	1427	29736
458	1430	29726
459	1433	29727
460	1436	29728
461	1439	29720
462	1442	29714
463	1445	29709
464	1448	29697
465	1452	29711
466	1455	29702
467	1458	29696
468	1461	29694
469	1463	29684
470	1467	29690
471	1471	29696
472	1473	29687
473	1477	29683
474	1479	29674
475	1483	29674
476	1486	29672
477	1488	29661
478	1492	29658
479	1495	29662
480	1498	29653
481	1501	29659
482	1504	29649
483	1507	29645
484	1510	29642
485	1513	29632
486	1517	29647
487	1520	29641
488	1523	29638
489	1526	29632
490	1529	29620
491	1532	29623
492	1536	29621
493	1538	29612
494	1542	29617
495	1545	29613
496	1548	29612
497	1551	29610
498	1554	29602
499	1557	29598
500	1560	29590
501	1563	29582
502	1567	29594
503	1570	29587
504	1573	29582
505	1576	29576
506	1579	29568
507	1582	29572
508	1586	29575
509	1588	29567
510	1592	29563
511	1594	29555
512	1598	29555
513	1601	29559
514	1604	29552
515	1607	29547
516	1610	29543
517	1613	29532
518	1617	29545
519	1620	29537
520	1623	29532
521	1626	29527
522	1628	29515
523	1632	29530
524	1635	29522
525	1638	29511
526	1641	29508
527	1644	29504
528	1648	29508
529	1651	29502
530	1653	29492
531	1656	29489
532	1660	29484
533	1662	29474
534	1666	29475
535	1668	29466
536	1671	29458
537	1674	29458
538	1677	29449
539	1680	29439
540	1683	29430
541	1685	29420
542	1689	29418
543	1692	29419
544	1695	29411
545	1698	29409
546	1701	29401
547	1704	29391
548	1707	29386
549	1709	29379
550	1712	29374
551	1715	29368
552	1718	29359
553	1721	29353
554	1724	29347
555	1727	29338
556	1730	29332
557	1732	29323
558	1735	29316
559	1738	29311
560	1741	29305
561	1744	29295
562	1747	29288
563	1750	29278
564	1752	29271
565	1755	29266
566	1758	29260
567	1761	29251
568	1765	29257
569	1768	29253
570	1771	29249
571	1774	29246
572	1777	29238
573	1780	29238
574	1783	29230
575	1786	29225
576	1789	29221
577	1792	29216
578	1795	29214
579	1798	29206
580	1801	29202
581	1804	29205
582	1808	29206
583	1811	29207
584	1815	29218
585	1818	29211
586	1821	29213
587	1824	29209
588	1827	29201
589	1831	29206
590	1834	29203
591	1837	29201
592	1840	29200
593	1843	29193
594	1846	29192
595	1850	29197
596	1853	29191
597	1856	29189
598	1859	29184
599	1862	29180
600	1866	29183
601	1868	29176
602	1871	29171
603	1874	29165
604	1877	29157
605	1881	29162
606	1884	29157
607	1887	29153
608	1890	29150
609	1893	29141
610	1896	29142
611	1900	29148
612	1903	29143
613	1906	29138
614	1908	29131
615	1912	29129
616	1915	29135
617	1918	29132
618	1922	29131
